#{"t_start": 1776083382.0690448, "env_id": "None"}
r,l,t
-252.02625,47,1.630033
-399.613545,47,1.633037
-99.949311,47,1.635041
14.7,47,1.637048
14.7,47,1.640618
28.1,47,1.644029
-8.533294,47,1.646033
-426.619042,47,1.64904
-212.090464,47,1.652049
-105.074721,47,1.654054
-172.477526,47,1.657067
-214.467709,47,1.658069
-376.67893,47,1.661579
-127.027676,47,1.663586
-24.457134,47,1.666592
-36.025529,47,1.668597
-1.768945,47,1.670606
-893.803147,47,1.672611
-281.173472,47,1.67565
7.05,47,1.67794
-5.960705,47,1.681287
-444.053001,47,1.720446
15.05,47,1.723527
-6.139038,47,1.726021
23.85,47,1.728025
7.059403,47,1.731037
8.101441,47,1.733041
-108.488921,47,1.735044
-10693.07015,47,1.739159
26.172278,47,1.741163
13.060503,47,1.744316
-252.932617,47,1.746325
-623.196427,47,1.749437
-422.615961,47,1.751451
-1220.239638,47,1.7535
-1060.049802,47,1.755687
-445.517543,47,1.759511
-550.445904,47,1.761938
-535.556547,47,1.763951
-962.625376,47,1.765954
-1423.106749,47,1.770013
-772.373713,47,1.772016
-1145.424648,47,1.775026
-884.912814,47,1.777036
-353.884895,47,1.78004
-1003.871735,47,1.78305
-867.425257,47,1.785119
-1073.446701,47,1.788137
-2223.064375,47,1.791152
-2268.786587,47,1.793157
-1617.960092,47,1.795168
-172.097936,47,1.797174
-2268.501036,47,1.800486
-2088.041145,47,1.802762
-133.520782,47,1.805774
-347.889996,47,1.807788
-98.299435,47,1.810791
-307.90975,47,1.813029
-182.430205,47,1.816093
-101.010182,47,1.8181
-158.047649,47,1.821117
-39.749314,47,1.823123
-59.675845,47,1.825134
-3540.493934,47,1.828489
-491.614381,47,1.831535
-8126.699051,47,1.833538
-7365.315649,47,1.83555
15.45,47,1.838063
-13.418184,47,1.841069
-2.173708,47,1.843187
17.65,47,1.845198
-2757.31781,47,1.848297
-813.372563,47,1.850402
-2200.565503,47,1.853413
-798.555152,47,1.855417
-715.319466,47,1.857506
-745.497695,47,1.860016
-366.905509,47,1.863111
-262.685497,47,1.865116
-1860.415411,47,1.867127
-56.134868,47,1.870337
-652.090636,47,1.87234
-1358.522426,47,1.875525
-272.376934,47,1.87753
-106.185001,47,1.880595
-217.172143,47,1.882763
-2363.240843,47,1.885772
-112.057516,47,1.887784
-951.548943,47,1.890794
-481.878171,47,1.893782
-2511.323733,47,1.896344
-110.148576,47,1.898899
-520.785,47,1.901974
-791.949578,47,1.904014
-2922.130506,47,1.906062
-1403.949276,47,1.908622
-4973.665561,47,1.91126
22.05,47,1.913822
-367.391945,47,1.915874
-334.706673,47,1.918442
-340.216413,47,1.920996
-1302.167456,47,1.923
-1401.28789,47,1.925783
-128.116075,47,1.927795
-1545.865663,47,1.931263
-4661.432783,47,1.933266
-1142.311781,47,2.257988
-163.108335,47,2.294002
7.314154,47,2.332448
-6.882332,47,2.37359
-1562.333365,47,2.409689
-1061.401523,47,2.443815
-1256.051336,47,2.482283
-1063.146715,47,2.519119
-256.047281,47,2.557269
-508.094154,47,2.591196
-998.53349,47,2.630062
-1072.660942,47,2.667275
-1364.910217,47,2.707507
-1077.072754,47,2.743284
-1316.703297,47,2.783642
-930.894897,47,2.819376
-940.569932,47,2.857677
-1241.505208,47,2.892296
-1378.805535,47,2.928746
-869.579867,47,2.967112
-968.746499,47,3.003835
-306.088284,47,3.042204
-285.596432,47,3.079306
-81.94994,47,3.117647
30.017459,47,3.159651
-127.484209,47,3.195588
23.55,47,3.23668
-19.961785,47,3.272931
-299.394142,47,3.310138
-286.792027,47,3.344828
-165.969648,47,3.385131
-155.425741,47,3.423203
-149.774935,47,3.462666
-269.569076,47,3.498082
-308.190004,47,3.538723
-157.60931,47,3.580845
-176.149212,47,3.62192
-210.055299,47,3.658579
-1000.397636,47,3.702556
-461.455161,47,3.740894
-62.506809,47,3.778645
-88.304198,47,3.813521
-566.605689,47,3.855193
-249.811089,47,3.892747
31.05,47,3.933725
25.55,47,3.970207
27.4,47,4.009954
44.65,47,4.049947
-89.26094,47,4.08725
-10929.963348,47,4.122666
-8.166619,47,4.162353
51.443819,47,4.203532
-161.708105,47,4.244589
-358.046348,47,4.278032
-291.781683,47,4.319395
-1136.201016,47,4.357584
-870.327794,47,4.398698
-334.053314,47,4.433035
-543.017112,47,4.473373
-257.354432,47,4.512963
-609.49412,47,4.551696
-1414.618795,47,4.589345
-510.42709,47,4.630019
-738.189493,47,4.670792
-1114.443749,47,4.709878
-365.359206,47,4.744474
-991.018958,47,4.786278
-661.703884,47,4.828239
-697.670305,47,4.869499
-2364.907922,47,4.907202
-1912.213041,47,4.946994
-2066.013749,47,4.985851
-78.836625,47,5.025185
-2170.453462,47,5.061442
-1308.99002,47,5.104518
-40.018622,47,5.146238
-260.47106,47,5.185506
-92.782027,47,5.220251
-34.980175,47,5.261708
-104.804113,47,5.302041
-81.200667,47,5.341198
-173.563683,47,5.377787
-174.948344,47,5.420657
27.1,47,5.461971
-2779.249653,47,5.503805
-317.068939,47,5.541154
-6812.225471,47,5.57972
-6090.820611,47,5.616867
48.55,47,5.656079
