#{"t_start": 1775745578.0254052, "env_id": "None"}
r,l,t
-198.583379,47,1.105654
-519.072385,47,1.108996
-106.498126,47,1.110001
30.25,47,1.114002
11.75,47,1.119116
9.8,47,1.122126
-19.564654,47,1.124636
-308.542806,47,1.125639
-307.185872,47,1.130178
-125.871455,47,1.133284
-59.82336,47,1.135791
-184.763032,47,1.137967
-329.496276,47,1.140996
-225.256866,47,1.143003
-33.4799,47,1.146024
-44.556969,47,1.148118
4.081055,47,1.152159
-1115.810893,47,1.154974
11.6,47,1.157119
-23.23826,47,1.160148
1.522603,47,1.163159
-295.190407,47,1.201389
-27.511832,47,1.203907
18.456896,47,1.20491
11.904897,47,1.209478
9.675873,47,1.211482
6.535466,47,1.213997
-92.326123,47,1.216
-11248.667394,47,1.220491
2.178686,47,1.222997
20.85,47,1.225096
-131.351014,47,1.227102
-1591.331513,47,1.231115
-495.447658,47,1.233629
-1107.512404,47,1.235977
-1069.284293,47,1.237984
-337.702251,47,1.242072
-256.801817,47,1.244494
-571.438397,47,1.247
-1021.36751,47,1.24901
-1507.428471,47,1.252152
-1002.685738,47,1.254719
-1183.416647,47,1.257893
-980.949798,47,1.259898
-691.246464,47,1.262908
-1257.281056,47,1.265363
-908.130762,47,1.267873
-986.751508,47,1.271384
-2297.692695,47,1.275141
-2426.826386,47,1.277168
-1892.70456,47,1.280178
-157.518429,47,1.281497
-2572.15355,47,1.286136
-1993.868845,47,1.288168
-154.980486,47,1.290329
-330.467797,47,1.292833
-54.717915,47,1.296856
-27.852675,47,1.299953
-229.609688,47,1.30202
-213.613141,47,1.30453
-188.711361,47,1.307953
-73.645251,47,1.30996
10.7,47,1.312977
-3602.328076,47,1.315436
-475.422194,47,1.318805
-6357.531167,47,1.320812
-8955.178475,47,1.323319
19.35,47,1.325748
21.7,47,1.328812
9.9,47,1.330904
-17.166937,47,1.333416
-3219.78807,47,1.335479
-757.355674,47,1.339871
-1854.892724,47,1.341876
-643.000341,47,1.343383
-503.695378,47,1.345389
-794.105253,47,1.349803
-200.933907,47,1.351808
-239.647986,47,1.354323
-1353.18658,47,1.355326
-58.178833,47,1.360486
-795.631557,47,1.362991
-1129.408071,47,1.366018
-255.218556,47,1.368024
-224.395767,47,1.371419
-182.497477,47,1.374935
-3118.584384,47,1.378023
-113.095331,47,1.380028
-1333.412621,47,1.383594
-284.489518,47,1.385597
-2482.378149,47,1.388105
-209.784081,47,1.390112
-481.382285,47,1.394389
-982.661934,47,1.396894
-2779.361299,47,1.398909
-1735.436273,47,1.400248
-4776.960632,47,1.404974
22.2,47,1.407248
-468.768225,47,1.410263
-366.944678,47,1.412284
-226.249855,47,1.415773
-1688.938574,47,1.418278
-1436.924479,47,1.420285
-18.009351,47,1.423311
-1202.874518,47,1.427233
-4645.605447,47,1.429243
-912.642505,47,1.566151
-37.554018,47,1.605081
99.75,47,1.647313
77.6,47,1.685024
-583.072755,47,1.722182
-270.123848,47,1.760152
-117.73977,47,1.80184
29.65,47,1.839106
18.526763,47,1.877725
39.55,47,1.917391
31.65,47,1.959421
35.25,47,1.997389
28.05,47,2.036577
-206.081866,47,2.074504
31.05,47,2.114341
14.324161,47,2.152274
-150.880601,47,2.191964
25.7,47,2.230244
-73.597065,47,2.271207
-16.856237,47,2.309238
-44.836157,47,2.347107
-59.993954,47,2.383956
24.415072,47,2.427597
70.196689,47,2.465178
69.603386,47,2.503139
69.2,47,2.538694
162.65,47,2.58294
27.076389,47,2.619671
17.961612,47,2.657258
33.721553,47,2.699273
24.483931,47,2.740337
15.970992,47,2.780321
-60.162921,47,2.82027
14.510919,47,2.854161
35.437684,47,2.89506
58.610105,47,2.933234
52.890417,47,2.973286
19.836188,47,3.010715
-116.352555,47,3.053957
48.731013,47,3.091547
58.916703,47,3.130315
69.283016,47,3.164978
36.512527,47,3.208332
47.38398,47,3.246103
38.391595,47,3.284242
103.336285,47,3.32027
71.191876,47,3.361341
117.65,47,3.400255
-154.872627,47,3.438375
-1891.306489,47,3.476155
40.595056,47,3.518239
102.341354,47,3.559204
52.1,47,3.597307
-16.917989,47,3.632988
39.8,47,3.67421
29.95,47,3.713907
-100.106219,47,3.753958
35.402675,47,3.789839
29.710318,47,3.830245
11.771283,47,3.868294
-30.667268,47,3.903942
-81.497972,47,3.939739
21.10078,47,3.981642
-97.400618,47,4.020305
-35.374327,47,4.059489
1.191488,47,4.095259
-0.685073,47,4.135994
-64.742434,47,4.173248
30.75,47,4.211149
-16.561117,47,4.249172
-162.973629,47,4.288655
-31.90247,47,4.328444
-147.429228,47,4.36601
-154.304607,47,4.401342
7.954226,47,4.442284
82.95,47,4.48023
14.755583,47,4.519384
48.075434,47,4.557633
56.620768,47,4.600181
53.65,47,4.638153
24.341599,47,4.675046
65.707733,47,4.709736
62.85,47,4.751257
